Time,CPU Usage (%),RAM Usage (%)
2022-12-08 10:25:55,3.7353515625,33.5
2022-12-08 10:26:25,3.8818359375,33.9
2022-12-08 10:26:55,3.7353515625,33.9
2022-12-08 10:27:26,3.5888671875,33.9
2022-12-08 10:27:56,3.4423828125,33.9
2022-12-08 10:28:26,3.4423828125,33.9
2022-12-08 10:28:56,3.2958984375,33.9
2022-12-08 10:29:26,3.2958984375,33.9
2022-12-08 10:29:56,3.1494140625,33.9
2022-12-08 10:30:26,3.1494140625,33.9
2022-12-08 10:30:56,3.0029296875,33.9
2022-12-08 10:31:26,3.0029296875,33.9
2022-12-08 10:31:56,2.8564453125,34.0
2022-12-08 10:32:26,3.13720703125,33.9
2022-12-08 10:32:56,2.99072265625,33.9
2022-12-08 10:33:26,2.84423828125,33.7
2022-12-08 10:33:56,2.84423828125,33.5
2022-12-08 10:34:26,2.978515625,33.6
2022-12-08 10:34:56,2.978515625,33.7
2022-12-08 10:35:26,2.83203125,33.8
2022-12-08 10:35:56,2.685546875,33.5
2022-12-08 10:36:26,2.5390625,33.5
2022-12-08 10:36:56,2.392578125,33.5
2022-12-08 10:37:26,2.392578125,33.8
2022-12-08 10:37:56,2.25830078125,33.7
2022-12-08 10:38:26,2.5634765625,33.9
2022-12-08 10:38:56,2.4169921875,33.9
2022-12-08 10:39:26,2.2705078125,33.9
2022-12-08 10:39:56,2.30712890625,33.9
2022-12-08 10:40:26,2.20947265625,33.9
2022-12-08 10:40:56,2.13623046875,33.9
2022-12-08 10:41:26,2.06298828125,33.9
2022-12-08 10:41:56,1.98974609375,33.9
2022-12-08 10:42:26,1.91650390625,33.9
2022-12-08 10:42:56,1.84326171875,33.9
2022-12-08 10:43:26,2.197265625,33.9
2022-12-08 10:43:56,2.1240234375,33.9
